r,phi,z
12,104448,11
418,0,142
1376,87381,2008
350,256,60
640,0,30
0,0,90
640,0,20
640,0,0
0,0,110
0,0,140
0,0,130
640,0,140
0,0,140
0,0,100
0,0,110
640,0,60
0,0,40
640,0,140
0,0,70
640,0,30
0,0,0
0,0,80
0,0,50
0,0,80
0,0,90
640,0,150
640,0,20
0,0,110
640,0,20
0,0,110
640,0,140
640,0,70
640,0,140
0,0,130
0,0,80
640,0,120
0,0,60
0,0,130
0,0,40
640,0,120
640,0,150
0,0,120
640,0,50
640,0,50
640,0,140
0,0,100
0,0,90
0,0,140
0,0,30
0,0,70
640,0,20
640,0,80
0,0,10
0,0,50
0,0,40
640,0,100
640,0,10
0,0,120
0,0,40
0,0,60
640,0,30
0,0,90
640,0,20
640,0,0
0,0,110
0,0,140
0,0,130
640,0,140
0,0,140
0,0,100
0,0,110
640,0,60
0,0,40
640,0,140
0,0,70
640,0,30
0,0,0
0,0,80
0,0,50
0,0,80
0,0,90
640,0,150
640,0,20
0,0,110
640,0,20
0,0,110
640,0,140
640,0,70
640,0,140
0,0,130
0,0,80
640,0,120
0,0,60
0,0,130
0,0,40
640,0,120
640,0,150
0,0,120
640,0,50
640,0,50
640,0,140
0,0,100
0,0,90
0,0,140
0,0,30
0,0,70
640,0,20
640,0,80
0,0,10
0,0,50
0,0,40
640,0,100
640,0,10
0,0,120
0,0,40
0,0,60
0,0,30
0,0,90
0,0,20
0,0,0
0,0,110
0,0,140
0,0,130
0,0,140
0,0,140
0,0,100
0,0,110
0,0,60
0,0,40
0,0,140
0,0,70
0,0,30
0,0,0
0,0,80
0,0,50
0,0,80
0,0,90
0,0,150
0,0,20
0,0,110
0,0,20
0,0,110
0,0,140
0,0,70
0,0,140
0,0,130
0,0,80
0,0,120
0,0,60
0,0,130
0,0,40
0,0,120
0,0,150
0,0,120
0,0,50
0,0,50
0,0,140
0,0,100
0,0,90
0,0,140
0,0,30
0,0,70
0,0,20
0,0,80
0,0,10
0,0,50
0,0,40
0,0,100
0,0,10
0,0,120
0,0,40
0,0,60
768,24055,1198
930,256,90
3280,83968,21
768,24055,1168
3570,0,135
0,0,140
930,256,130
768,24055,1308
1376,87381,2108
930,256,100
930,256,110
3280,83968,61
0,0,40
3841,0,147
1376,87381,2038
3841,0,37
1376,87381,1968
1376,87381,2048
3570,0,75
930,256,80
3570,0,115
768,24055,1318
768,24055,1188
0,0,110
3841,0,27
3570,0,135
65,0,140
3280,83968,71
3280,83968,141
0,0,130
0,0,80
3280,83968,121
930,256,60
3570,0,155
1376,87381,2008
65,0,120
768,24055,1318
930,256,120
3841,0,57
65,0,50
3280,83968,141
3570,0,125
0,0,90
930,256,140
0,0,30
3570,0,95
3841,0,27
768,24055,1248
1376,87381,1978
930,256,50
1376,87381,2008
3280,83968,101
3280,83968,11
3570,0,145
1376,87381,2008
930,256,60
2410,0,30
2395,0,91
2393,0,21
2410,0,0
2391,0,111
2406,0,140
2395,0,131
2410,0,140
2408,0,140
2395,0,101
2395,0,111
2393,0,61
2406,0,40
2391,0,141
2408,0,70
2391,0,31
2408,0,0
2408,0,80
2391,0,51
2395,0,81
2391,0,91
2410,0,150
2410,0,20
2406,0,110
2391,0,21
2391,0,111
2407,0,140
2393,0,71
2393,0,141
2406,0,130
2406,0,80
2393,0,121
2395,0,61
2391,0,131
2408,0,40
2407,0,120
2410,0,150
2395,0,121
2391,0,51
2407,0,50
2393,0,141
2391,0,101
2406,0,90
2395,0,141
